time,HR,average HR
2023-02-28 07:33:51,186,169.29166666666666
2023-02-28 07:33:56,185,168.525
2023-02-28 07:34:11,185,167.725
2023-02-28 07:34:26,185,166.9
2023-02-28 07:34:36,184,166.05833333333334
2023-02-28 07:34:51,184,165.2
2023-02-28 07:34:53,184,164.31666666666666
2023-02-28 07:35:03,183,163.45
2023-02-28 07:35:18,181,162.6
2023-02-28 07:35:23,179,161.78333333333333
2023-02-28 07:35:28,178,160.98333333333332
2023-02-28 07:35:38,177,160.18333333333334
2023-02-28 07:35:43,176,159.40833333333333
2023-02-28 07:35:58,176,158.66666666666666
2023-02-28 07:36:03,174,157.95833333333334
2023-02-28 07:36:08,172,157.25
2023-02-28 07:36:13,170,156.50833333333333
2023-02-28 07:36:18,166,155.76666666666668
2023-02-28 07:36:23,161,155.00833333333333
2023-02-28 07:36:38,163,154.225
2023-02-28 07:36:43,164,153.43333333333334
2023-02-28 07:36:48,165,152.61666666666667
2023-02-28 07:36:53,167,151.75833333333333
2023-02-28 07:37:03,168,150.85833333333332
2023-02-28 07:37:08,169,149.89166666666668
2023-02-28 07:37:18,168,148.90833333333333
2023-02-28 07:37:23,162,147.90833333333333
2023-02-28 07:37:28,156,146.91666666666666
2023-02-28 07:37:33,155,145.90833333333333
2023-02-28 07:37:38,156,144.88333333333333
2023-02-28 07:37:43,155,143.86666666666667
2023-02-28 07:37:53,152,142.85
2023-02-28 07:37:58,145,141.83333333333334
2023-02-28 07:38:03,142,140.825
2023-02-28 07:38:18,142,139.81666666666666
2023-02-28 07:38:33,141,138.81666666666666
2023-02-28 07:38:38,135,137.825
2023-02-28 07:38:43,129,136.85833333333332
2023-02-28 07:38:48,126,135.89166666666668
2023-02-28 07:38:53,124,134.90833333333333
2023-02-28 07:38:58,123,133.91666666666666
2023-02-28 07:39:03,118,132.91666666666666
2023-02-28 07:39:08,116,131.89166666666668
2023-02-28 07:39:13,115,130.825
2023-02-28 07:39:18,112,129.75833333333333
2023-02-28 07:39:23,106,128.7
2023-02-28 07:39:28,105,127.625
2023-02-28 07:39:33,107,126.55
2023-02-28 07:39:38,108,125.49166666666666
2023-02-28 07:39:53,108,124.43333333333334
2023-02-28 07:40:03,109,123.375
2023-02-28 07:40:18,108,122.34166666666667
2023-02-28 07:40:23,107,121.31666666666666
2023-02-28 07:40:38,105,120.3
2023-02-28 07:40:43,102,119.29166666666667
2023-02-28 07:40:48,99,118.28333333333333
2023-02-28 07:41:03,99,117.28333333333333
2023-02-28 07:41:08,98,116.29166666666667
2023-02-28 07:41:23,98,115.30833333333334
2023-02-28 07:41:28,100,114.33333333333333
2023-02-28 07:41:33,100,113.35833333333333
2023-02-28 07:41:38,97,112.38333333333334
2023-02-28 07:41:43,95,111.425
2023-02-28 07:41:58,94,110.49166666666666
2023-02-28 07:42:03,93,109.56666666666666
2023-02-28 07:42:13,91,108.64166666666667
2023-02-28 07:42:18,92,107.70833333333333
2023-02-28 07:42:23,93,106.775
2023-02-28 07:42:33,95,105.85833333333333
2023-02-28 07:42:38,96,104.975
2023-02-28 07:42:43,97,104.125
2023-02-28 07:42:48,100,103.29166666666667
2023-02-28 07:42:53,104,102.45833333333333
2023-02-28 07:42:58,107,101.64166666666667
2023-02-28 07:43:03,108,100.81666666666666
2023-02-28 07:43:08,105,100.01666666666667
2023-02-28 07:43:23,104,99.21666666666667
2023-02-28 07:43:33,103,98.425
2023-02-28 07:43:38,101,97.66666666666667
2023-02-28 07:43:48,99,96.96666666666667
2023-02-28 07:43:53,95,96.25833333333334
2023-02-28 07:43:58,92,95.54166666666667
2023-02-28 07:44:03,86,94.825
2023-02-28 07:44:08,77,94.08333333333333
2023-02-28 07:44:13,75,93.31666666666666
2023-02-28 07:44:18,74,92.54166666666667
2023-02-28 07:44:23,74,91.78333333333333
2023-02-28 07:44:28,73,91.075
2023-02-28 07:44:38,72,90.425
2023-02-28 07:44:53,72,89.775
2023-02-28 07:45:08,72,89.10833333333333
2023-02-28 07:45:23,72,88.44166666666666
2023-02-28 07:45:33,72,87.79166666666667
2023-02-28 07:45:48,73,87.175
2023-02-28 07:45:53,74,86.56666666666666
2023-02-28 07:46:03,75,85.95
2023-02-28 07:46:08,77,85.33333333333333
2023-02-28 07:46:13,76,84.75833333333334
2023-02-28 07:46:18,75,84.24166666666666
2023-02-28 07:46:33,74,83.75833333333334
2023-02-28 07:46:38,73,83.34166666666667
2023-02-28 07:46:43,70,82.95833333333333
2023-02-28 07:46:48,68,82.625
2023-02-28 07:46:53,67,82.31666666666666
2023-02-28 07:47:08,67,82.00833333333334
2023-02-28 07:47:13,66,81.725
2023-02-28 07:47:23,65,81.5
2023-02-28 07:47:28,66,81.29166666666667
2023-02-28 07:47:33,67,81.06666666666666
2023-02-28 07:47:38,68,80.84166666666667
2023-02-28 07:47:43,70,80.60833333333333
2023-02-28 07:47:48,71,80.33333333333333
2023-02-28 07:47:58,72,80.05833333333334
2023-02-28 07:48:03,72,79.78333333333333
2023-02-28 07:48:08,71,79.50833333333334
2023-02-28 07:48:23,71,79.26666666666667
2023-02-28 07:48:28,71,79.05
2023-02-28 07:48:33,71,78.81666666666666
2023-02-28 07:48:38,70,78.575
2023-02-28 07:48:53,70,78.33333333333333
2023-02-28 07:49:08,69,78.06666666666666
2023-02-28 07:49:23,70,77.78333333333333
2023-02-28 07:49:28,73,77.525
2023-02-28 07:49:33,74,77.29166666666667
2023-02-28 07:49:38,73,77.075
2023-02-28 07:49:43,72,76.875
2023-02-28 07:49:48,72,76.69166666666666
2023-02-28 07:49:53,73,76.5
2023-02-28 07:50:03,75,76.30833333333334
2023-02-28 07:50:08,77,76.14166666666667
2023-02-28 07:50:13,78,75.975
2023-02-28 07:50:18,77,75.8
2023-02-28 07:50:23,78,75.59166666666667
2023-02-28 07:50:28,77,75.34166666666667
2023-02-28 07:50:38,78,75.05833333333334
2023-02-28 07:50:48,76,74.76666666666667
2023-02-28 07:50:58,75,74.48333333333333
2023-02-28 07:51:04,75,74.2
2023-02-28 07:51:19,77,73.91666666666667
2023-02-28 07:51:24,78,73.65833333333333
2023-02-28 07:51:29,78,73.425
2023-02-28 07:51:34,79,73.25
2023-02-28 07:51:39,78,73.06666666666666
2023-02-28 07:51:49,76,72.90833333333333
2023-02-28 07:52:04,76,72.81666666666666
2023-02-28 07:52:09,77,72.74166666666666
2023-02-28 07:52:24,77,72.68333333333334
2023-02-28 07:52:34,78,72.625
2023-02-28 07:52:44,77,72.6
2023-02-28 07:52:49,76,72.59166666666667
2023-02-28 07:52:59,75,72.575
2023-02-28 07:53:04,74,72.55833333333334
2023-02-28 07:53:09,71,72.54166666666667
2023-02-28 07:53:14,69,72.53333333333333
2023-02-28 07:53:29,68,72.50833333333334
2023-02-28 07:53:44,67,72.45833333333333
2023-02-28 07:53:49,66,72.36666666666666
2023-02-28 07:53:59,67,72.26666666666667
2023-02-28 07:54:04,68,72.18333333333334
2023-02-28 07:54:09,74,72.1
2023-02-28 07:54:14,77,72.01666666666667
2023-02-28 07:54:19,78,71.93333333333334
2023-02-28 07:54:34,79,71.875
2023-02-28 07:54:39,78,71.84166666666667
2023-02-28 07:54:44,78,71.81666666666666
2023-02-28 07:54:49,79,71.79166666666667
2023-02-28 07:54:54,80,71.78333333333333
2023-02-28 07:55:09,80,71.8
2023-02-28 07:55:19,81,71.83333333333333
2023-02-28 07:55:29,80,71.875
2023-02-28 07:55:34,76,71.91666666666667
2023-02-28 07:55:39,75,71.95
2023-02-28 07:55:44,74,71.96666666666667
2023-02-28 07:55:49,72,71.96666666666667
2023-02-28 07:55:59,73,71.95833333333333
2023-02-28 07:56:04,73,71.94166666666666
2023-02-28 07:56:09,71,71.90833333333333
2023-02-28 07:56:14,69,71.86666666666666
2023-02-28 07:56:29,69,71.83333333333333
2023-02-28 07:56:44,68,71.8
2023-02-28 07:56:59,66,71.75833333333334
2023-02-28 07:57:14,66,71.70833333333333
2023-02-28 07:57:19,67,71.65833333333333
2023-02-28 07:57:29,68,71.59166666666667
2023-02-28 07:57:34,69,71.525
2023-02-28 07:57:39,69,71.48333333333333
2023-02-28 07:57:54,69,71.46666666666667
2023-02-28 07:57:59,70,71.45833333333333
2023-02-28 07:58:04,75,71.45
2023-02-28 07:58:09,76,71.41666666666667
2023-02-28 07:58:24,76,71.36666666666666
2023-02-28 07:58:29,75,71.31666666666666
2023-02-28 07:58:34,74,71.26666666666667
2023-02-28 07:58:39,73,71.19166666666666
2023-02-28 07:58:44,73,71.11666666666666
2023-02-28 07:58:49,71,71.025
2023-02-28 07:58:54,70,70.93333333333334
2023-02-28 07:59:04,69,70.84166666666667
2023-02-28 07:59:14,70,70.74166666666666
2023-02-28 07:59:24,71,70.64166666666667
2023-02-28 07:59:29,74,70.54166666666667
2023-02-28 07:59:34,70,70.44166666666666
2023-02-28 07:59:39,67,70.35
2023-02-28 07:59:44,66,70.28333333333333
2023-02-28 07:59:59,66,70.24166666666666
2023-02-28 08:00:14,67,70.2
2023-02-28 08:00:29,67,70.15833333333333
2023-02-28 08:00:39,70,70.11666666666666
2023-02-28 08:00:44,71,70.05833333333334
2023-02-28 08:00:49,70,70.01666666666667
2023-02-28 08:00:54,70,69.99166666666666
2023-02-28 08:01:09,70,69.96666666666667
2023-02-28 08:01:24,71,69.95
2023-02-28 08:01:29,70,69.95
2023-02-28 08:01:34,68,69.95833333333333
2023-02-28 08:01:39,64,69.96666666666667
2023-02-28 08:01:49,65,69.975
2023-02-28 08:01:54,66,69.975
2023-02-28 08:01:59,65,69.95833333333333
2023-02-28 08:02:04,64,69.91666666666667
2023-02-28 08:02:09,63,69.83333333333333
2023-02-28 08:02:24,63,69.74166666666666
2023-02-28 08:02:34,64,69.65
2023-02-28 08:02:44,64,69.55833333333334
2023-02-28 08:02:54,64,69.48333333333333
2023-02-28 08:03:04,65,69.40833333333333
2023-02-28 08:03:14,67,69.325
2023-02-28 08:03:19,70,69.24166666666666
2023-02-28 08:03:24,72,69.16666666666667
2023-02-28 08:03:34,73,69.08333333333333
2023-02-28 08:03:39,74,69.0
2023-02-28 08:03:49,73,68.94166666666666
2023-02-28 08:03:59,72,68.86666666666666
2023-02-28 08:04:04,71,68.8
2023-02-28 08:04:09,69,68.75833333333334
2023-02-28 08:04:14,67,68.7
2023-02-28 08:04:19,66,68.63333333333334
